group,roi,episode_id,segment_rows,tr_rows,warning_count,failed_batches,zero_filled_segments,mean_score_value,std_score_value,nonzero_value_rate,all_zero_segment_rate,all_zero_tr_rate,provider,model
round3_tail10_reference,DLPFC,s02e15b,281,466,0,0,0,1.8072360616844603,1.6845455719963567,0.7200474495848161,0.0035587188612099642,0.008583690987124463,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e16a,282,478,0,0,0,2.3738179669030735,2.0802544818316666,0.7715721040189125,0.0035460992907801418,0.006276150627615063,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e16b,291,478,0,0,0,2.3155784650630014,2.0343719202305697,0.768327605956472,0.0,0.0,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e17a,264,489,0,0,0,1.5265151515151516,1.770244797679074,0.5814393939393939,0.007575757575757576,0.0081799591002045,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e17b,282,489,0,0,0,1.4793144208037825,1.5962567035998039,0.6306146572104019,0.0035460992907801418,0.00408997955010225,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e18a,271,460,0,0,0,2.091020910209102,1.673821464056338,0.8259532595325954,0.0,0.0,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e18b,269,460,0,0,0,2.180297397769517,1.7829103119483372,0.8004956629491945,0.0037174721189591076,0.006521739130434782,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e19a,271,478,0,0,0,1.818880688806888,1.5941468050952345,0.7515375153751538,0.0036900369003690036,0.0041841004184100415,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e19b,265,478,0,0,0,2.5245283018867926,1.8327117407466733,0.8880503144654088,0.007547169811320755,0.012552301255230125,aihubmix,gemini-3.5-flash
round3_tail10_reference,DLPFC,s02e20a,263,449,0,0,0,1.428231939163498,1.7584662610708885,0.5307351077313055,0.011406844106463879,0.015590200445434299,aihubmix,gemini-3.5-flash
round3_tail10_reference,VMPFC,s02e15b,281,466,0,0,0,1.4720386375190646,1.9605880503912168,0.5261820030503305,0.0,0.0,aihubmix,gemini-3.5-flash
round3_tail10_reference,VMPFC,s02e16a,282,478,0,0,0,1.3143363728470112,1.688427486217578,0.5035460992907801,0.010638297872340425,0.014644351464435146,aihubmix,gemini-3.5-flash
round3_tail10_reference,VMPFC,s02e16b,291,478,0,0,0,1.6079528718703977,1.6917515046247042,0.6600392734413353,0.0,0.0,aihubmix,gemini-3.5-flash
round3_tail10_reference,VMPFC,s02e17a,264,489,0,0,0,1.1989989177489178,1.6273406632288037,0.4751082251082251,0.0,0.0,aihubmix,gemini-3.5-flash
